match_id,home_team_name,away_team_name,stadium_name,home_score,away_score
3895302,Bayer Leverkusen,Werder Bremen,BayArena,5,0
3895292,Union Berlin,Bayer Leverkusen,Stadion An der Alten Försterei,0,1
3895333,Eintracht Frankfurt,Bayer Leverkusen,Deutsche Bank Park,1,5
3895340,Bochum,Bayer Leverkusen,Vonovia Ruhrstadion,0,5
3895348,Bayer Leverkusen,Augsburg,BayArena,2,1
3895286,Bayer Leverkusen,Hoffenheim,BayArena,2,1
3895220,Darmstadt 98,Bayer Leverkusen,Merck-Stadion am Böllenfalltor,0,2
3895250,Bayer Leverkusen,FSV Mainz 05,BayArena,2,1
3895266,Bayer Leverkusen,Wolfsburg,BayArena,2,0
3895275,Freiburg,Bayer Leverkusen,Europa-Park Stadion,2,3
3895180,Bayer Leverkusen,Eintracht Frankfurt,BayArena,3,0
3895134,Hoffenheim,Bayer Leverkusen,PreZero Arena,2,3
3895121,Bayer Leverkusen,Freiburg,BayArena,2,1
3895107,Bayer Leverkusen,FC Köln,BayArena,3,0
3895074,Bayern Munich,Bayer Leverkusen,Allianz Arena,2,2
3895139,Bayer Leverkusen,Union Berlin,BayArena,4,0
3895086,Bayer Leverkusen,FC Heidenheim,BayArena,4,1
3895320,Bayer Leverkusen,VfB Stuttgart,BayArena,2,2
3895309,Borussia Dortmund,Bayer Leverkusen,Signal-Iduna-Park,1,1
3895258,FC Köln,Bayer Leverkusen,RheinEnergieStadion,0,2
3895244,FC Heidenheim,Bayer Leverkusen,Voith-Arena,1,2
3895232,Bayer Leverkusen,Bayern Munich,BayArena,3,0
3895210,Bayer Leverkusen,Borussia Mönchengladbach,BayArena,0,0
3895202,RB Leipzig,Bayer Leverkusen,Red Bull Arena,2,3
3895194,Augsburg,Bayer Leverkusen,WWK Arena,0,1
3895182,Bayer Leverkusen,Bochum,BayArena,4,0
3895167,VfB Stuttgart,Bayer Leverkusen,MHPArena,1,1
3895158,Bayer Leverkusen,Borussia Dortmund,BayArena,1,1
3895153,Werder Bremen,Bayer Leverkusen,Wohninvest Weserstadion ,0,3
3895113,Wolfsburg,Bayer Leverkusen,Volkswagen Arena,1,2
3895095,FSV Mainz 05,Bayer Leverkusen,Mewa Arena,0,3
3895067,Bayer Leverkusen,Darmstadt 98,BayArena,5,1
3895060,Borussia Mönchengladbach,Bayer Leverkusen,Stadion im BORUSSIA-PARK,0,3
3895052,Bayer Leverkusen,RB Leipzig,BayArena,3,2
